A,,,,Proposed category,Subcategory(If applied),PureURL
DATABASE_STORAGE_USAGE_HISTORY,"This table function can be used to query the average daily storage usage, in bytes, for a single database (or all the databases in your account) within a specified date range.","Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/database_storage_usage_history
DATE_FROM_PARTS,"Creates a date from individual numeric components that represent the year, month, and day of the month.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/date_from_parts
DATE_PART,"Extracts the specified date or time part from a date, time, or timestamp.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/date_part
DATE_TRUNC,"Truncates a DATE, TIME, or TIMESTAMP value to the specified precision.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/date_trunc
DATEADD,"Adds the specified value for the specified date or time part to a date, time, or timestamp.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/dateadd
DATEDIFF,"Calculates the difference between two date, time, or timestamp expressions based on the date or time part requested.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/datediff
DAYNAME,Extracts the three-letter day-of-week name from the specified date or timestamp.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/dayname
DECODE,Compares the select expression to each search expression in order.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/decode
DECOMPRESS_BINARY,Decompresses the compressed BINARY input parameter.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/decompress_binary
DECOMPRESS_STRING,Decompresses the compressed BINARY input parameter to a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/decompress_string
DECRYPT,Decrypts a BINARY value using a VARCHAR passphrase.,Encryption functions,,encryption,,https://docs.snowflake.com/en/sql-reference/functions/decrypt
DECRYPT_RAW,Decrypts a BINARY value using a BINARY key.,Encryption functions,,encryption,,https://docs.snowflake.com/en/sql-reference/functions/decrypt_raw
DEGREES,Converts radians to degrees.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/degrees
DENSE_RANK,"Returns the rank of a value within a group of values, without gaps in the ranks.",Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/dense_rank
DIV0,"Performs division like the division operator (/), but returns 0 when the divisor is 0 (rather than reporting an error).",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/div0
DIV0NULL,"Performs division like the division operator (/), but returns 0 when the divisor is 0 or NULL (rather than reporting an error or returning NULL).",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/div0null
AVG (system data metric function),Returns the average value for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_avg
BLANK_COUNT (system data metric function),Returns the count of column values that are blank for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_blank_count
BLANK_PERCENT (system data metric function),Returns the percentage of column values that are blank for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_blank_percent
DATA_METRIC_SCHEDULED_TIME (system data metric function),Returns the timestamp for when a DMF is scheduled to run or the current timestamp if the function is called manually.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_data_metric_schedule_time
DUPLICATE_COUNT (system data metric function),"Returns the count of column values that have duplicates, including NULL values.",Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_duplicate_count
FRESHNESS (system data metric function),Returns the difference in seconds between the maximum value of a timestamp column and the scheduled time when the data metric function runs.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_freshness
MAX (system data metric function),Returns the maximum value for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_max
MIN (system data metric function),Returns the minimum value for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_min
NULL_COUNT (system data metric function),Returns the total number of NULL values for the specified columns in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_null_count
NULL_PERCENT (system data metric function),Returns the percentage of columns values that are NULL for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_null_percent
ROW_COUNT (system data metric function),Returns the total number of rows for the specified table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_row_count
STDDEV (system data metric function),Returns the standard deviation value for the specified column in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_stddev
UNIQUE_COUNT (system data metric function),Returns the total number of unique non-NULL values for the specified columns in a table.,Data metric functions,,data_metric,,https://docs.snowflake.com/en/sql-reference/functions/dmf_unique_count
DP_INTERVAL_HIGH,"Returns the upper bound of the noise interval, which is used by differential privacy to help analysts determine how much noise has been introduced into query results.",Differential privacy functions,,differential_privacy,,https://docs.snowflake.com/en/sql-reference/functions/dp_interval_high
DP_INTERVAL_LOW,"Returns the lower bound of the noise interval, which is used by differential privacy to help analysts determine how much noise has been introduced into query results.",Differential privacy functions,,differential_privacy,,https://docs.snowflake.com/en/sql-reference/functions/dp_interval_low
DYNAMIC_TABLE_GRAPH_HISTORY,This table function returns information on all dynamic tables in the current account.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/dynamic_table_graph_history
DYNAMIC_TABLE_REFRESH_HISTORY,This table function returns information about each refresh (completed and running) of dynamic tables.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/dynamic_table_refresh_history
DYNAMIC_TABLES,"This table function returns metadata about dynamic tables, including aggregate lag metrics and the status of the most recent refreshes, within 7 days of the current time.","Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/dynamic_tables
E,,,,,,
EDITDISTANCE,Computes the Levenshtein distance between two input strings.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/editdistance
EMAIL_INTEGRATION_CONFIG,"Returns a JSON object that specifies the email notification integration, recipients, and subject line to use for an email notification.",Notification functions,,notification,,https://docs.snowflake.com/en/sql-reference/functions/email_integration_config
EMBED_TEXT_768 (SNOWFLAKE.CORTEX),Creates a vector embedding of 768 dimensions from English-language text.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/embed_text-snowflake-cortex
EMBED_TEXT_1024 (SNOWFLAKE.CORTEX),Creates a vector embedding of 1024 dimensions from text.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/embed_text_1024-snowflake-cortex
ENCRYPT,Encrypts a VARCHAR or BINARY value using a VARCHAR passphrase.,Encryption functions,,encryption,,https://docs.snowflake.com/en/sql-reference/functions/encrypt
ENCRYPT_RAW,Encrypts a BINARY value using a BINARY key.,Encryption functions,,encryption,,https://docs.snowflake.com/en/sql-reference/functions/encrypt_raw
ENDSWITH,Returns TRUE if the first expression ends with the second expression.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/endswith
EQUAL_NULL,Compares whether two expressions are equal.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/equal_null
ESTIMATE_REMAINING_DP_AGGREGATES,Returns the estimated number of aggregation functions that can be run before the limit of a privacy budget is reached.,"Differential privacy functions , Table functions",,account,,https://docs.snowflake.com/en/sql-reference/functions/estimate_remaining_dp_aggregates
EXP,Computes Euler’s number e raised to a floating-point value.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/exp
EXPLAIN_JSON,This function converts an EXPLAIN plan from JSON to a table.,System functions,,semi-structured,json,https://docs.snowflake.com/en/sql-reference/functions/explain_json
EXTERNAL_FUNCTIONS_HISTORY,This table function retrieves the history of external functions called by Snowflake for your entire Snowflake account.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/external_functions_history
EXTERNAL_TABLE_FILES,This table function can be used to query information about the staged data files included in the metadata for a specified external table.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/external_table_files
EXTERNAL_TABLE_FILE_REGISTRATION_HISTORY,This table function can be used to query information about the metadata history for an external table.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/external_table_registration_history
EXTRACT,"Extracts the specified date or time part from a date, time, or timestamp.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/extract
EXTRACT_ANSWER (SNOWFLAKE.CORTEX),Extracts an answer to a given question from a text document.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/extract_answer-snowflake-cortex
EXTRACT_SEMANTIC_CATEGORIES,Returns a set of categories (semantic and privacy) for each supported column in the specified table or view.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/extract_semantic_categories
F,,,,,,
FACTORIAL,Computes the factorial of its input.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/factorial
FILTER,Filters an array based on the logic in a lambda expression.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/filter
FINETUNE ('CANCEL') (SNOWFLAKE.CORTEX),Cancels the specified fine-tuning job from the current schema.,,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/finetune-cancel
FINETUNE ('CREATE') (SNOWFLAKE.CORTEX),Creates a fine-tuning job.,,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/finetune-create
FINETUNE ('DESCRIBE') (SNOWFLAKE.CORTEX),Describes the properties of a fine-tuning job.,,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/finetune-describe
FINETUNE ('SHOW') (SNOWFLAKE.CORTEX),Lists the fine-tuning jobs for which you have access privileges.,,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/finetune-show
FINETUNE (SNOWFLAKE.CORTEX),This function lets you create and manage large language models customized for your specific task.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/finetune-snowflake-cortex
FIRST_VALUE,Returns the first value within an ordered group of values.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/first_value
FLATTEN,Flattens (explodes) compound values into multiple rows.,"Table functions , Semi-structured and structured data functions",,table,,https://docs.snowflake.com/en/sql-reference/functions/flatten
FLOOR,"Returns values from input_expr rounded to the nearest equal or smaller integer, or to the nearest equal or smaller value with the specified number of places after the decimal point.",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/floor
G,,,,,,
GENERATE_COLUMN_DESCRIPTION,Generates a list of columns from a set of staged files that contain semi-structured data using the INFER_SCHEMA function output.,Metadata functions,,metadata,,https://docs.snowflake.com/en/sql-reference/functions/generate_column_description
GENERATOR,"Creates rows of data based either on a specified number of rows, a specified generation period (in seconds), or both.",Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/generator
GET,Extracts a value from an ARRAY or an OBJECT (or a VARIANT that contains an ARRAY or OBJECT).,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/get
GET_ABSOLUTE_PATH,Retrieves the absolute path of a staged file using the stage name and path of the file relative to its location in the stage as inputs.,File functions,,file,,https://docs.snowflake.com/en/sql-reference/functions/get_absolute_path
GET_ANACONDA_PACKAGES_REPODATA,Returns a list of third-party packages that are available from Anaconda.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/get_anaconda_packages_repodata
GET_CONDITION_QUERY_UUID,Returns the query ID for the SQL statement executed for the condition of an alert.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/get_condition_query_uuid
GET_DDL,Returns a DDL statement that can be used to recreate the specified object.,Metadata functions,,metadata,,https://docs.snowflake.com/en/sql-reference/functions/get_ddl
GET_IGNORE_CASE,Extracts a field value from an object; returns NULL if either of the arguments is NULL.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/get_ignore_case
GET_LINEAGE (SNOWFLAKE.CORE),"Given a Snowflake object, returns data lineage information upstream or downstream from that object.",Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/get_lineage-snowflake-core
GET_OBJECT_REFERENCES,Returns a list of objects that a specified object references.,Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/get_object_references
"GET_PATH , :",Extracts a value from semi-structured data using a path name.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/get_path
GET_PRESIGNED_URL,Generates a pre-signed URL to a file on a stage using the stage name and relative file path as inputs.,File functions,,file,,https://docs.snowflake.com/en/sql-reference/functions/get_presigned_url
GET_PYTHON_PROFILER_OUTPUT (SNOWFLAKE.CORE),Returns output containing a report generated by the Python code profiler.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/get_python_profiler_output
GET_QUERY_OPERATOR_STATS,Returns statistics about individual query operators within a query that has completed.,"System functions , Table functions",,system,,https://docs.snowflake.com/en/sql-reference/functions/get_query_operator_stats
GET_RELATIVE_PATH,Extracts the path of a staged file relative to its location in the stage using the stage name and absolute file path in cloud storage as inputs.,File functions,,file,,https://docs.snowflake.com/en/sql-reference/functions/get_relative_path
GET_STAGE_LOCATION,Retrieves the URL for an external or internal named stage using the stage name as the input.,File functions,,file,,https://docs.snowflake.com/en/sql-reference/functions/get_stage_location
GETBIT,"Given an INTEGER value, returns the value of a bit at a specified position.",Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/getbit
GETDATE,Returns the current timestamp for the system in the local time zone.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/getdate
GETVARIABLE,Returns the value associated with a SQL variable name.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/getvariable
GREATEST,Returns the largest value from a list of expressions.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/greatest
GREATEST_IGNORE_NULLS,Returns the largest non-NULL value from a list of expressions.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/greatest_ignore_nulls
GROUPING,Describes which of a list of expressions are grouped in a row produced by a GROUP BY query.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/grouping
GROUPING_ID,Describes which of a list of expressions are grouped in a row produced by a GROUP BY query.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/grouping_id
H,,,,,,
H3_CELL_TO_BOUNDARY,Returns the GEOGRAPHY object representing the boundary of an H3 cell.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_cell_to_boundary
H3_CELL_TO_CHILDREN,Returns an array of the INTEGER IDs of the children of an H3 cell for a given resolution.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_cell_to_children
H3_CELL_TO_CHILDREN_STRING,Returns an array of the VARCHAR values containing the hexadecimal IDs of the children of an H3 cell for a given resolution.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_cell_to_children_string
H3_CELL_TO_PARENT,Returns the ID of the parent of an H3 cell for a given resolution.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_cell_to_parent
H3_CELL_TO_POINT,Returns the GEOGRAPHY object representing the Point that is the centroid of an H3 cell.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_cell_to_point
H3_COMPACT_CELLS,"Returns an array of VARIANT values that contain the INTEGER IDs of fewer, larger H3 cells that cover the same area as the H3 cells in the input.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_compact_cells
H3_COMPACT_CELLS_STRINGS,"Returns an array of VARIANT values that contain the VARCHAR hexadecimal IDs of fewer, larger H3 cells that cover the same area as the H3 cells in the input.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_compact_cells_strings
H3_COVERAGE,Returns an array of IDs (as INTEGER values) identifying the minimal set of H3 cells that completely cover a shape (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_coverage
H3_COVERAGE_STRINGS,Returns an array of hexadecimal IDs (as VARCHAR values) identifying the minimal set of H3 cells that completely cover a shape (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_coverage_strings
H3_GET_RESOLUTION,Returns the resolution of an H3 cell.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_get_resolution
H3_GRID_DISK,Returns an array of the IDs of the H3 cells that are within the k-distance from the specified cell.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_grid_disk
H3_GRID_DISTANCE,Returns the distance between two H3 cells specified by their IDs.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_grid_distance
H3_GRID_PATH,Returns an array of the IDs of the H3 cells that represent the line between two cells.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_grid_path
H3_INT_TO_STRING,Converts the INTEGER value of an H3 cell ID to hexadecimal format.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_int_to_string
H3_IS_PENTAGON,Returns TRUE if the boundary of an H3 cell represents a pentagon.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_is_pentagon
H3_IS_VALID_CELL,Returns TRUE if the input represents a valid H3 cell.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_is_valid_cell
H3_LATLNG_TO_CELL,"Returns the INTEGER value of the H3 cell ID for a given latitude, longitude, and resolution.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_latlng_to_cell
H3_LATLNG_TO_CELL_STRING,"Returns the H3 cell ID in hexadecimal format (as a VARCHAR value) for a given latitude, longitude, and resolution.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_latlng_to_cell_string
H3_POINT_TO_CELL,Returns the INTEGER value of an H3 cell ID for a Point (specified by a GEOGRAPHY object) at a given resolution.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_point_to_cell
H3_POINT_TO_CELL_STRING,Returns the hexadecimal value of an H3 cell ID for a Point (specified by a GEOGRAPHY object) at a given resolution.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_point_to_cell_string
H3_POLYGON_TO_CELLS,Returns an array of INTEGER values of the IDs of H3 cells that have centroids contained by a Polygon (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_polygon_to_cells
H3_POLYGON_TO_CELLS_STRINGS,Returns an array of VARCHAR values of the hexadecimal IDs of H3 cells that have centroids contained by a Polygon (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_polygon_to_cells_strings
H3_STRING_TO_INT,Converts an H3 cell ID in hexadecimal format to an INTEGER value.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_string_to_int
H3_TRY_COVERAGE,A special version of H3_COVERAGE that returns NULL if an error occurs when it attempts to return an array of IDs (as INTEGER values) identifying the minimal set of H3 cells that completely cover a shape (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_try_coverage
H3_TRY_COVERAGE_STRINGS,A special version of H3_COVERAGE_STRINGS that returns NULL if an error occurs when it attempts to return an array of hexadecimal IDs (as VARCHAR values) identifying the minimal set of H3 cells that completely cover a shape (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_try_coverage_strings
H3_TRY_GRID_DISTANCE,A special version of H3_GRID_DISTANCE that returns NULL if an error occurs when it attempts to return the distance between two H3 cells.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_try_grid_distance
H3_TRY_GRID_PATH,A special version of H3_GRID_PATH that returns NULL if an error occurs when it attempts to return an array of VARIANT values that contain the IDs of the H3 cells that represent the line between two cells.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_try_grid_path
H3_TRY_POLYGON_TO_CELLS,A special version of H3_POLYGON_TO_CELLS that returns NULL if an error occurs when it attempts to return an array of INTEGER values of the IDs of H3 cells that have centroids contained by a Polygon (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_try_polygon_to_cells
H3_TRY_POLYGON_TO_CELLS_STRINGS,A special version of H3_POLYGON_TO_CELLS_STRINGS that returns NULL if an error occurs when it attempts to return an array of VARCHAR values of the hexadecimal IDs of H3 cells that have centroids contained by a Polygon (specified by a GEOGRAPHY object).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_try_polygon_to_cells_strings
H3_UNCOMPACT_CELLS,Returns an array of VARIANT values that contain the INTEGER IDs of H3 cells at the specified resolution that cover the same area as the H3 cells in the input.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_uncompact_cells
H3_UNCOMPACT_CELLS_STRINGS,Returns an array of VARIANT values that contain the VARCHAR hexadecimal IDs of H3 cells at the specified resolution that cover the same area as the H3 cells in the input.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/h3_uncompact_cells_strings
HASH,Returns a signed 64-bit hash value.,Hash functions,,hash,,https://docs.snowflake.com/en/sql-reference/functions/hash
HASH_AGG,Returns an aggregate signed 64-bit hash value over the (unordered) set of input rows.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hash_agg
HAVERSINE,"Calculates the great-circle distance in kilometers between two points on the Earth’s surface, using the Haversine formula.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/haversine
HEX_DECODE_BINARY,Decodes a hex-encoded string to a binary.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/hex_decode_binary
HEX_DECODE_STRING,Decodes a hex-encoded string to a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/hex_decode_string
HEX_ENCODE,Encodes the input using hexadecimal (also ‘hex’ or ‘base16’) encoding.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/hex_encode
HLL,"Uses HyperLogLog to return an approximation of the distinct cardinality of the input (i.e. HLL(col1, col2, ... ) returns an approximation of COUNT(DISTINCT col1, col2, ... )).","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hll
HLL_ACCUMULATE,Returns the HyperLogLog state at the end of aggregation.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hll_accumulate
HLL_COMBINE,Combines (merges) input states into a single output state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hll_combine
HLL_ESTIMATE,Returns the cardinality estimate for the given HyperLogLog state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hll_estimate
HLL_EXPORT,Converts input in BINARY format to OBJECT format.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hll_export
HLL_IMPORT,Converts input in OBJECT format to BINARY format.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/hll_import
HOUR / MINUTE / SECOND,Extracts the corresponding time part from a time or timestamp value.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/hour-minute-second
I,,,,,,
ICEBERG_TABLE_FILES,Returns information about the data files registered to an externally managed,iceberg-tm,,iceberg,,https://docs.snowflake.com/en/sql-reference/functions/iceberg_table_files
ICEBERG_TABLE_SNAPSHOT_REFRESH_HISTORY,Returns metadata and snapshot information about the most recent refresh history for a specified externally managed,iceberg-tm,,iceberg,,https://docs.snowflake.com/en/sql-reference/functions/iceberg_table_snapshot_refresh_history
IFF,Returns one of two values depending on whether a Boolean expression evaluates to true or false.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/iff
IFNULL,"If expr1 is NULL, returns expr2, otherwise returns expr1.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/ifnull
[ NOT ] ILIKE,Performs a case-insensitive comparison to determine whether a string matches or does not match a specified pattern.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/ilike
ILIKE ANY,Performs a case-insensitive comparison to match a string against any of one or more specified patterns.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/ilike_any
[ NOT ] IN,Tests whether its argument is or is not one of the members of an explicit list or the result of a subquery.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/in
INFER_SCHEMA,Automatically detects the file metadata schema in a set of staged data files that contain semi-structured data and retrieves the column definitions.,Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/infer_schema
INITCAP,Returns the input string with the first letter of each word in uppercase and the subsequent letters in lowercase.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/initcap
INSERT,"Replaces a substring of the specified length, starting at the specified position, with a new string or binary value.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/insert
INTEGRATION,Returns a JSON object that specifies the notification integration to use to send a message.,Notification functions,,notification,,https://docs.snowflake.com/en/sql-reference/functions/integration
INVOKER_ROLE,Returns the name of the account-level role of the object executing the query or NULL if the name of the role is a database role.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/invoker_role
INVOKER_SHARE,"Returns the name of the share that directly accessed the table or view where the INVOKER_SHARE function is invoked, otherwise the function returns NULL.",Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/invoker_share
IS [ NOT ] DISTINCT FROM,Compares whether two expressions are equal (or not equal).,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/is-distinct-from
IS [ NOT ] NULL,Determines whether an expression is NULL or is not NULL.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/is-null
IS_APPLICATION_ROLE_IN_SESSION,Verifies whether the application role is activated in the consumer’s current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/is_application_role_in_session
IS_ARRAY,Returns TRUE if its VARIANT argument contains an ARRAY value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_array
IS_BINARY,Returns TRUE if its VARIANT argument contains a binary string value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_binary
IS_BOOLEAN,Returns TRUE if its VARIANT argument contains a BOOLEAN value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_boolean
"IS_CHAR , IS_VARCHAR",Returns TRUE if its VARIANT argument contains a string value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_char-varchar
IS_DATABASE_ROLE_IN_SESSION,Verifies whether the database role is in the user’s active primary or secondary role hierarchy for the current session or if the specified column contains a database role that is in the user’s active primary or secondary role hierarchy for the current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/is_database_role_in_session
"IS_DATE , IS_DATE_VALUE",Returns TRUE if its VARIANT argument contains a DATE value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_date-value
IS_DECIMAL,Returns TRUE if its VARIANT argument contains a fixed-point number or integer value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_decimal
